Author,Genres
Leon Uris,Fantasy
Eoin Colfer,Fantasy
Julianna Baggott,Fantasy
Christine Feehan,Fantasy
Katherine Kurtz,Fantasy
Garth Nix,Fantasy
Terry Goodkind,Fantasy
Gillian Bradshaw,Fantasy
Lois McMaster Bujold,Fantasy
Tim LaHaye and Jerry B. Jenkins,Fantasy
Sam Savage,Fantasy
Graham Taylor,Fantasy
Angie Sage,Fantasy
C. Dale Brittain,Fantasy
Tamora Pierce,Fantasy
Paul B. Thompson & Tonya R. Carter,Fantasy
Emily Rodda,Fantasy
Jasper Fforde,Fantasy
Anne McCaffrey,Fantasy
Piers Anthony,Fantasy
Eric Linklater,Fantasy
Erin Hunter,Fantasy
Barbara Hambly,Fantasy
Suzanne Collins,Fantasy
Brandon Sanderson,Fantasy
Steven Brust,Fantasy
Pierre Berton,Fantasy
Eileen Wilks,Fantasy
Ruth Plumly Thompson,Fantasy
Zilpha Keatley Snyder,Fantasy
Roald Dahl,Fantasy
Ernest Bramah,Fantasy
George R. R. Martin,Fantasy
Emily Rodda,Fantasy
Katherine Kurtz,Fantasy
Madeleine L'Engle,Fantasy
James Blaylock,Fantasy
L. Frank Baum,Fantasy
Diane Duane,Fantasy
Elizabeth Marie Pope,Fantasy
Tad Williams,Fantasy
Alan Dean Foster,Fantasy
Graham Edwards,Fantasy
Edgar Rice Burroughs,Fantasy
Stephen King,Fantasy
Walter M. Miller Jr.,Fantasy
Katherine Langrish,Fantasy
Robert L. Forward,Science Fiction
Philip K. Dick,Science Fiction
Isaac Asimov,Science Fiction
Suzanne Collins,Science Fiction
Michael Swanwick,Science Fiction
Vonda N. McIntyre,Science Fiction
J. G. Ballard,Science Fiction
Trevor Baxendale,Science Fiction
Brian Greene,Science Fiction
Samuel R. Delany,Science Fiction
Thomas Calvert McClary,Science Fiction
Roger MacBride Allen,Science Fiction
Frank Rodgers,Science Fiction
Mikhail Bulgakov,Science Fiction
Arthur C. ClarkeStephen Baxter,Science Fiction
Geoff Ryman,Science Fiction
Christopher Priest,Science Fiction
John Boyd,Science Fiction
Catherine Asaro,Science Fiction
Gene DeWeese,Science Fiction
Barry N. Malzberg,Science Fiction
John Wyndham,Science Fiction
Robert A. Heinlein,Science Fiction
Jonathan Lethem,Science Fiction
William Sleator,Science Fiction
George O. Smith,Science Fiction
Stephen Antczak,Science Fiction
Stephen R. Donaldson,Science Fiction
Jack Williamson,Science Fiction
Kage Baker,Science Fiction
Lois Lowry,Science Fiction
Edgar Rice Burroughs,Science Fiction
Larry Niven,Science Fiction
John Taine,Science Fiction
David Gerrold,Science Fiction
K. A. Applegate,Science Fiction
Scott Westerfeld,Science Fiction
David Dvorkin,Science Fiction
James Alan Gardner,Science Fiction
Samuel R. Delany,Science Fiction
Marion Zimmer Bradley,Science Fiction
David Brin,Science Fiction
Robert T. Bakker,Science Fiction
Robert Silverberg,Science Fiction
Paul Levinson,Science Fiction
Lee Correy,Science Fiction
Eric Frank Russell,Science Fiction
Philip George Chadwick,Science Fiction
Fred T. Jane,Science Fiction
Orson Scott Card,Science Fiction
Robert A. Heinlein,Science Fiction
David Foster Wallace,Science Fiction
Lois Lowry,Science Fiction
Robert C. O'Brien,Science Fiction
Robert S. Richardson (as Philip Latham),Science Fiction
Kōbō Abe,Science Fiction
Matthew J. Costello,Science Fiction
Marianne de Pierres,Science Fiction
Gary Paulsen,Science Fiction
Robert Silverberg,Science Fiction
Poul Anderson,Science Fiction
Andrew Clements,Science Fiction
Dana Kramer-Rolls,Science Fiction
Arkady and Boris Strugatsky,Science Fiction
Harry Turtledove,Science Fiction
Jules VernePaschal Grousset (uncredited),Science Fiction
Hugh Walters,Science Fiction
David Weber,Science Fiction
Otis Adelbert Kline,Science Fiction
Sergey Lukyanenko,Science Fiction
Philip K. Dick,Science Fiction
Frank Herbert,Science Fiction
Frank Herbert,Science Fiction
Daniel F. Galouye,Science Fiction
Maurice G. Dantec,Science Fiction
Virginia DeMarce andEric Flint(Series creator and editor),Science Fiction
Robert A. Heinlein,Science Fiction
Keith Mansfield,Science Fiction
Keith Topping,Science Fiction
David Weber,Science Fiction
Iain M. Banks,Science Fiction
Isaac Asimov,Science Fiction
Paul and Hollis Davids,Science Fiction
Arthur C. Clarke,Science Fiction
Hermann Hesse,Science Fiction
Kristine Kathryn Rusch,Science Fiction
John Brunner,Science Fiction
David Brin,Science Fiction
Robert Silverberg,Science Fiction
Jude Watson,Science Fiction
Hugh Walters,Science Fiction
George O. Smith,Science Fiction
Barbara HamblyKevin J. Anderson,Science Fiction
Marion Zimmer Bradley,Science Fiction
Alan Dean Foster,Science Fiction
H. G. Wells,Science Fiction
Philip José Farmer,Science Fiction
John Barnes,Science Fiction
William F. Nolan & George Clayton Johnson,Science Fiction
Stephen Cole,Science Fiction
Linda Buckley-Archer,Science Fiction
Karen Traviss,Science Fiction
Janusz A. Zajdel,Science Fiction
Philip José Farmer,Science Fiction
Sean McMullen,Science Fiction
Sarban,Science Fiction
Kage Baker,Science Fiction
Philip K. Dick,Science Fiction
Arthur C. Clarke,Science Fiction
H. Chandler Elliott,Science Fiction
Joseph Conrad,Science Fiction
Daniel H. Wilson,Science Fiction
H. G. Wells,Science Fiction
Alan Dean Foster,Science Fiction
Theodore Judson,Science Fiction
Christopher Bulis,Science Fiction
Douglas Adams,Science Fiction
Stanisław Lem,Science Fiction
Douglas Niles,Science Fiction
Iain M. Banks,Science Fiction
Eric Frank Russell,Science Fiction
Peter David,Science Fiction
Nancy Farmer,Science Fiction
O.T. Nelson,Science Fiction
Philip K. Dick,Science Fiction
Catherine Asaro,Science Fiction
David Weber,Science Fiction
Martin Caidin,Science Fiction
Mark Gatiss,Science Fiction
Jude Watson,Science Fiction
William Barton,Science Fiction
W. Michael Gear,Science Fiction
Margaret Wander Bonanno,Science Fiction
Stephen Baxter,Science Fiction
Douglas Adams,Science Fiction
William Gray Beyer,Science Fiction
David Sherman & Dan Cragg,Science Fiction
L. E. Modesitt,Science Fiction
Stephen Baxter,Science Fiction
Ian Stewart,Science Fiction
George Tomkyns Chesney,Science Fiction
Sergey Lukyanenko,Science Fiction
Hugh Walters,Science Fiction
Stanton A. Coblentz,Science Fiction
A. E. van Vogt,Science Fiction
Theodore Sturgeon,Science Fiction
Alastair Reynolds,Science Fiction
Steven L. Kent[1],Science Fiction
Terry Pratchett,Science Fiction
W. H. Hudson,Science Fiction
Harry Turtledove,Science Fiction
David Brin,Science Fiction
Isaac Asimov,Science Fiction
Stanisław Lem,Science Fiction
Steve Perry,Science Fiction
Alan Dean Foster,Science Fiction
Austin Grossman,Science Fiction
Samuel R. Delany,Science Fiction
John Lymington,Science Fiction
Alastair Reynolds,Science Fiction
Linda Nagata,Science Fiction
John Varley,Science Fiction
Jude Watson,Science Fiction
Alan Dean Foster,Science Fiction
Ken MacLeod,Science Fiction
Richard K. Morgan,Science Fiction
H. G. Wells,Science Fiction
Peter F. Hamilton,Science Fiction
Rex Gordon,Science Fiction
Colin Brake,Science Fiction
Steven Hall,Science Fiction
Isaac Asimov,Science Fiction
Hal Clement,Science Fiction
Russell Hoban,Science Fiction
Neal Asher,Science Fiction
Orson Scott Card,Science Fiction
S. M. Stirling,Science Fiction
H. G. Wells,Science Fiction
Michael Flynn,Science Fiction
Jack Vance,Science Fiction
Philip K. Dick,Science Fiction
Eric Nylund,Science Fiction
Frederik Pohl and Cyril M. Kornbluth,Science Fiction
Roger Zelazny,Science Fiction
Karen Traviss,Science Fiction
Isaac Asimov and Robert Silverberg,Science Fiction
Justin Richards,Science Fiction
L. Ron Hubbard,Science Fiction
Lucian of Samosata,Science Fiction
Marion Zimmer Bradley,Science Fiction
Fritz Leiber,Science Fiction
Harry Turtledove,Science Fiction
Ansen Dibell,Science Fiction
